league,season,game,team,player,jersey_number,nation,pos,age,min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,game_id
,,,,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Tottenham Hotspur,Mikey Moore,47,ENG,AM,19-011,67,0,0,0,0,3,3,0,0,0,1,0,1,0,0,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Tottenham Hotspur,Richarlison,9,BRA,FW,29-104,67,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Tottenham Hotspur,Rodrigo Bentancur,30,URU,MF,29-058,45,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Brentford-Tottenham,Tottenham Hotspur,Sandro Tonali,16,ITA,DM,26-106,90,0,0,0,0,2,1,0,0,1,1,0,2,1,0,0,,,01f07042
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Crystal Palace,Adam Wharton,20,ENG,DM,22-197,90,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,,,cbc27eaf
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Crystal Palace,Anan Khalaili,25,ISR,MF,21-353,36,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,,,cbc27eaf
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Crystal Palace,Chadi Riad,4,MAR,CB,23-066,71,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,,,cbc27eaf
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Crystal Palace,Chris Richards,26,USA,CB,26-147,90,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,,,cbc27eaf
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Crystal Palace,Daichi Kamada,18,JPN,DM,30-017,90,0,0,0,0,0,0,1,0,1,2,0,4,3,1,0,,,cbc27eaf
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Crystal Palace,Daniel Muñoz,2,COL,DM,30-088,54,0,0,0,0,2,1,0,0,1,0,0,0,1,1,0,,,cbc27eaf
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Crystal Palace,Dean Henderson,1,ENG,GK,29-163,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,cbc27eaf
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Crystal Palace,Dwight McNeil,11,ENG,AM,26-273,62,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,cbc27eaf
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Crystal Palace,Eddie Nketiah,9,ENG,AM,27-084,54,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,,,cbc27eaf
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Crystal Palace,Evann Guessand,29,CIV,"FW,MF",25-052,28,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,,,cbc27eaf
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Crystal Palace,Jaydee Canvot,6,FRA,CB,20-024,90,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,,,cbc27eaf
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Crystal Palace,Jean-Philippe Mateta,14,FRA,FW,29-055,62,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,,,cbc27eaf
ENG-Premier League,2627,2026-08-22 Everton-Crystal Palace,Crystal Palace,Jørgen Strand Larsen,22,NOR,FW,26-197,28,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,,,cbc27eaf
