league,season,game,team,player,jersey_number,nation,pos,age,min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,game_id
,,,,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Liverpool,Ronald Araújo,33,URU,DF,27-169,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,a02c581c
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Liverpool,Ryan Gravenberch,38,NED,DM,24-099,77,0,1,0,0,2,0,0,0,1,3,0,0,0,2,0,,,a02c581c
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Liverpool,Virgil van Dijk,4,NED,CB,35-046,90,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,,,a02c581c
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Liverpool,Víctor Muñoz,23,ESP,MF,23-041,28,0,0,0,0,2,0,0,0,0,1,0,4,0,0,0,,,a02c581c
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Newcastle United,Aladji Bamba,8,FRA,MF,20-040,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,a02c581c
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Newcastle United,Amar Dedić,37,BIH,RB,24-005,90,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,,,a02c581c
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Newcastle United,Anthony Elanga,19,SWE,AM,24-118,75,1,0,0,0,2,2,0,0,1,3,0,1,0,0,0,,,a02c581c
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Newcastle United,Fabian Schär,5,SUI,DF,34-246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,a02c581c
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Newcastle United,Harvey Barnes,11,ENG,AM,28-257,90,0,0,0,0,1,0,0,0,1,3,0,0,1,0,0,,,a02c581c
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Newcastle United,Jacob Murphy,23,ENG,"DF,FW",31-180,15,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,,,a02c581c
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Newcastle United,Jacob Ramsey,41,ENG,MF,25-087,35,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,,,a02c581c
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Newcastle United,Joe Willock,28,ENG,MF,27-003,35,1,0,0,0,1,1,0,0,2,0,0,2,1,0,0,,,a02c581c
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Newcastle United,Lewis Hall,3,ENG,LB,21-349,90,0,0,0,0,0,0,0,0,2,0,0,4,3,2,0,,,a02c581c
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Newcastle United,Lewis Miley,67,ENG,DM,20-114,75,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,,,a02c581c
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Newcastle United,Lukáš Horníček,21,CZE,GK,24-041,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,a02c581c
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Newcastle United,Malick Thiaw,12,GER,CB,25-015,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,a02c581c
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Newcastle United,Sean Steur,14,NED,DM,18-224,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,a02c581c
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Newcastle United,Sven Botman,4,NED,CB,26-223,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,a02c581c
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Newcastle United,William Osula,10,DEN,FW,23-019,55,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,,,a02c581c
ENG-Premier League,2627,2026-08-23 Newcastle-Liverpool,Newcastle United,Yoane Wissa,9,COD,AM,29-354,89,0,1,0,0,4,1,1,0,3,4,2,0,0,0,0,,,a02c581c
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Chelsea,Cole Palmer,10,ENG,AM,24-110,82,1,1,0,0,5,2,0,0,0,3,1,2,1,0,0,,,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Chelsea,Enzo Fernández,8,ARG,MF,25-219,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Chelsea,Estêvão Willian,41,BRA,MF,19-122,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Chelsea,Geovany Quenda,23,POR,MF,19-116,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Chelsea,Jorrel Hato,21,NED,DM,20-170,64,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,,,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Chelsea,Joshua Acheampong,34,ENG,CB,20-111,90,0,0,0,0,0,0,0,0,0,1,1,1,4,1,0,,,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Chelsea,João Pedro,9,BRA,FW,24-332,90,1,1,0,0,4,1,0,0,1,1,0,0,0,0,0,,,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Chelsea,Levi Colwill,6,ENG,CB,23-179,90,0,0,0,0,1,0,1,0,1,1,0,0,2,0,0,,,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Chelsea,Malo Gusto,27,FRA,DM,23-097,75,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,,,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Chelsea,Maxence Lacroix,5,FRA,CB,26-140,90,0,1,0,0,0,0,0,0,1,1,0,0,3,2,0,,,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Chelsea,Morgan Rogers,17,ENG,AM,24-029,81,1,0,0,0,3,1,0,0,1,1,0,1,1,0,0,,,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Chelsea,Pedro Neto,7,POR,"FW,MF",26-168,15,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,,,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Chelsea,Pep Chavarría,29,ESP,"DF,MF",28-136,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Chelsea,Reece James,24,ENG,DM,26-259,90,0,0,0,0,2,1,1,0,1,0,0,3,0,2,0,,,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Chelsea,Robert Sánchez,1,ESP,GK,28-279,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Chelsea,Roméo Lavia,45,BEL,DM,22-230,64,0,0,0,0,1,1,1,0,1,0,0,0,2,1,0,,,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Fulham,Alex Iwobi,17,NGA,DM,30-113,90,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,,,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Fulham,Antonee Robinson,33,USA,LB,29-016,81,0,0,0,0,1,0,0,0,0,0,0,3,3,1,0,,,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Fulham,Bernd Leno,1,GER,GK,34-173,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Fulham,Calvin Bassey,3,NGA,CB,26-236,90,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,,,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Fulham,César Palacios,8,ESP,AM,21-286,72,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,,,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Fulham,Gonzalo García,7,ESP,FW,22-153,90,1,0,0,0,3,1,0,0,2,2,0,0,0,0,0,,,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Fulham,Jorge Cuenca,4,ESP,CB,26-280,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Fulham,Joshua King,24,ENG,AM,19-233,90,1,0,0,0,3,2,0,0,2,1,0,2,2,0,0,,,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Fulham,Kevin,11,BRA,MF,23-232,18,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,,,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Fulham,Oscar Bobb,14,NOR,AM,23-043,66,0,0,0,0,0,0,0,0,1,1,0,3,1,1,0,,,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Fulham,Rodrigo Muniz,9,BRA,FW,25-112,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Fulham,Ryan Sessegnon,30,ENG,"DF,FW",26-098,18,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,,,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Fulham,Sander Berge,16,NOR,DM,28-191,72,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Fulham,Shea Charles,19,NIR,"DF,MF",22-292,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,98138a1e
ENG-Premier League,2627,2026-08-24 Fulham-Chelsea,Fulham,Timothy Castagne,21,BEL,RB,30-262,90,0,1,0,0,1,1,1,0,2,2,0,2,1,1,0,,,98138a1e
