league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off
ENG-Premier League,2627,Brentford,Vitaly Janelt,GER,MF,28-110,1998,1,90,90,100.0,1.0,1,90,1,0,,0,3,3,0,3,3.0,
ENG-Premier League,2627,Brentford,Yehor Yarmoliuk,UKR,MF,22-180,2004,1,24,24,26.7,0.3,0,,0,1,24,0,3,0,0,0,0.0,-4.09
ENG-Premier League,2627,Brighton,Bart Verbruggen,NED,GK,24-010,2002,1,90,90,100.0,1.0,1,90,1,0,,0,3,4,0,4,4.0,
ENG-Premier League,2627,Brighton,Charalampos Kostoulas,GRE,FW,19-090,2007,1,27,27,30.0,0.3,0,,0,1,27,0,3,0,0,0,0.0,-5.71
ENG-Premier League,2627,Brighton,Costinha,POR,"DF,MF",26-155,2000,1,27,27,30.0,0.3,0,,0,1,27,0,3,0,0,0,0.0,-5.71
ENG-Premier League,2627,Brighton,Diego Gómez,PAR,MF,23-154,2003,1,85,85,94.4,0.9,1,85,0,0,,0,3,4,0,4,4.24,4.24
ENG-Premier League,2627,Brighton,Georginio Rutter,FRA,FW,24-130,2002,1,90,90,100.0,1.0,1,90,1,0,,0,3,4,0,4,4.0,
ENG-Premier League,2627,Brighton,Ibrahim Osman,GHA,"FW,MF",21-272,2004,1,13,13,14.4,0.1,0,,0,1,13,0,3,0,0,0,0.0,-4.68
ENG-Premier League,2627,Brighton,Jack Hinshelwood,ENG,MF,21-139,2005,1,63,63,70.0,0.7,1,63,0,0,,0,3,4,0,4,5.71,5.71
ENG-Premier League,2627,Brighton,Jason Steele,ENG,GK,36-010,1990,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Brighton,Lewis Dunk,ENG,DF,34-280,1991,1,90,90,100.0,1.0,1,90,1,0,,0,3,4,0,4,4.0,
ENG-Premier League,2627,Brighton,Luka Vušković,CRO,DF,19-185,2007,1,90,90,100.0,1.0,1,90,1,0,,0,3,4,0,4,4.0,
ENG-Premier League,2627,Brighton,Malick Yalcouye,CIV,MF,20-283,2005,1,5,5,5.6,0.1,0,,0,1,5,0,3,0,0,0,0.0,-4.24
ENG-Premier League,2627,Brighton,Mats Wieffer,NED,DF,26-285,1999,1,77,77,85.6,0.9,1,77,0,0,,0,3,4,0,4,4.68,4.68
ENG-Premier League,2627,Brighton,Maxim De Cuyper,BEL,MF,25-249,2000,1,77,77,85.6,0.9,1,77,0,0,,0,3,4,0,4,4.68,4.68
ENG-Premier League,2627,Brighton,Michael Svoboda,AUT,DF,27-317,1998,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Brighton,Olivier Boscagli,FRA,DF,28-283,1997,1,90,90,100.0,1.0,1,90,1,0,,0,3,4,0,4,4.0,
ENG-Premier League,2627,Brighton,Pascal Groß,GER,MF,35-074,1991,1,90,90,100.0,1.0,1,90,1,0,,0,3,4,0,4,4.0,
ENG-Premier League,2627,Brighton,Pascal Struijk,NED,DF,27-017,1999,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Brighton,Promise David,CAN,FW,25-056,2001,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Brighton,Yasin Ayari,SWE,MF,22-326,2003,1,63,63,70.0,0.7,1,63,0,0,,0,3,4,0,4,5.71,5.71
ENG-Premier League,2627,Brighton,Zadok Yohanna,NGA,FW,19-060,2007,1,13,13,14.4,0.1,0,,0,1,13,0,3,0,0,0,0.0,-4.68
ENG-Premier League,2627,Chelsea,Cole Palmer,ENG,MF,24-114,2002,1,82,82,91.1,0.9,1,82,0,0,,0,3,3,2,1,1.1,1.1
ENG-Premier League,2627,Chelsea,Danny Welbeck,ENG,"FW,MF",35-275,1990,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Chelsea,Enzo Fernández,ARG,MF,25-223,2001,1,26,26,28.9,0.3,0,,0,1,26,0,3,0,0,0,0.0,-1.41
ENG-Premier League,2627,Chelsea,Estêvão Willian,BRA,MF,19-126,2007,1,8,8,8.9,0.1,0,,0,1,8,0,3,0,0,0,0.0,-1.1
ENG-Premier League,2627,Chelsea,Geovany Quenda,POR,MF,19-120,2007,1,9,9,10.0,0.1,0,,0,1,9,0,3,0,0,0,0.0,-1.11
ENG-Premier League,2627,Chelsea,Jamie Gittens,ENG,MF,22-020,2004,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Chelsea,Jorrel Hato,NED,MF,20-174,2006,1,64,64,71.1,0.7,1,64,0,0,,0,3,3,2,1,1.41,1.41
ENG-Premier League,2627,Chelsea,Joshua Acheampong,ENG,DF,20-115,2006,1,90,90,100.0,1.0,1,90,1,0,,0,3,3,2,1,1.0,
ENG-Premier League,2627,Chelsea,João Pedro,BRA,FW,24-336,2001,1,90,90,100.0,1.0,1,90,1,0,,0,3,3,2,1,1.0,
ENG-Premier League,2627,Chelsea,Levi Colwill,ENG,DF,23-183,2003,1,90,90,100.0,1.0,1,90,1,0,,0,3,3,2,1,1.0,
ENG-Premier League,2627,Chelsea,Malo Gusto,FRA,MF,23-101,2003,1,75,75,83.3,0.8,1,75,0,0,,0,3,3,2,1,1.2,1.2
ENG-Premier League,2627,Chelsea,Maxence Lacroix,FRA,DF,26-144,2000,1,90,90,100.0,1.0,1,90,1,0,,0,3,3,2,1,1.0,
ENG-Premier League,2627,Chelsea,Mike Penders,BEL,GK,21-028,2005,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Chelsea,Morgan Rogers,ENG,MF,24-033,2002,1,81,81,90.0,0.9,1,81,0,0,,0,3,3,2,1,1.11,1.11
ENG-Premier League,2627,Chelsea,Pedro Neto,POR,"FW,MF",26-172,2000,1,15,15,16.7,0.2,0,,0,1,15,0,3,0,0,0,0.0,-1.2
ENG-Premier League,2627,Chelsea,Pep Chavarría,ESP,"DF,MF",28-140,1998,1,26,26,28.9,0.3,0,,0,1,26,0,3,0,0,0,0.0,-1.41
ENG-Premier League,2627,Chelsea,Reece James,ENG,MF,26-263,1999,1,90,90,100.0,1.0,1,90,1,0,,0,3,3,2,1,1.0,
ENG-Premier League,2627,Chelsea,Robert Sánchez,ESP,GK,28-283,1997,1,90,90,100.0,1.0,1,90,1,0,,0,3,3,2,1,1.0,
ENG-Premier League,2627,Chelsea,Roméo Lavia,BEL,MF,22-234,2004,1,64,64,71.1,0.7,1,64,0,0,,0,3,3,2,1,1.41,1.41
ENG-Premier League,2627,Chelsea,Valentín Barco,ARG,"DF,MF",22-036,2004,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Coventry City,Aurèle Amenda,SUI,DF,23-028,2003,1,90,90,100.0,1.0,1,90,1,0,,0,0,0,3,-3,-3.0,
ENG-Premier League,2627,Coventry City,Ben Wilson,ENG,"FW,GK",34-019,1992,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Coventry City,Bobby Thomas,ENG,DF,25-210,2001,1,90,90,100.0,1.0,1,90,1,0,,0,0,0,3,-3,-3.0,
ENG-Premier League,2627,Coventry City,Brandon Thomas-Asante,GHA,MF,27-242,1998,1,69,69,76.7,0.8,1,69,0,0,,0,0,0,3,-3,-3.91,-3.91
ENG-Premier League,2627,Coventry City,Caleb Yirenkyi,GHA,MF,20-225,2006,1,61,61,67.8,0.7,1,61,0,0,,0,0,0,3,-3,-4.43,-4.43
ENG-Premier League,2627,Coventry City,Carl Rushworth,ENG,GK,25-057,2001,1,90,90,100.0,1.0,1,90,1,0,,0,0,0,3,-3,-3.0,
ENG-Premier League,2627,Coventry City,Ellis Simms,ENG,FW,25-235,2001,1,69,69,76.7,0.8,1,69,0,0,,0,0,0,3,-3,-3.91,-3.91
ENG-Premier League,2627,Coventry City,Frank Onyeka,NGA,MF,28-239,1998,1,90,90,100.0,1.0,1,90,1,0,,0,0,0,3,-3,-3.0,
ENG-Premier League,2627,Coventry City,Gustavo Hamer,NED,MF,29-065,1997,1,9,9,10.0,0.1,0,,0,1,9,0,0,0,0,0,0.0,3.33
ENG-Premier League,2627,Coventry City,Jack Rudoni,ENG,MF,26-094,2000,1,21,21,23.3,0.2,0,,0,1,21,0,0,0,0,0,0.0,3.91
ENG-Premier League,2627,Coventry City,Jay Dasilva,WAL,DF,28-128,1998,1,90,90,100.0,1.0,1,90,1,0,,0,0,0,3,-3,-3.0,
ENG-Premier League,2627,Coventry City,Josh Eccles,ENG,MF,26-144,2000,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Coventry City,Joël Latibeaudière,JAM,"DF,MF",26-234,2000,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Coventry City,Liam Kitching,ENG,DF,26-331,1999,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Coventry City,Loum Tchaouna,FRA,MF,22-354,2003,1,81,81,90.0,0.9,1,81,0,0,,0,0,0,3,-3,-3.33,-3.33
ENG-Premier League,2627,Coventry City,Matt Grimes,ENG,MF,31-044,1995,1,90,90,100.0,1.0,1,90,1,0,,0,0,0,3,-3,-3.0,
ENG-Premier League,2627,Coventry City,Milan van Ewijk,NED,DF,25-354,2000,1,90,90,100.0,1.0,1,90,1,0,,0,0,0,3,-3,-3.0,
ENG-Premier League,2627,Coventry City,Taiwo Awoniyi,NGA,FW,29-016,1997,1,21,21,23.3,0.2,0,,0,1,21,0,0,0,0,0,0.0,3.91
ENG-Premier League,2627,Coventry City,Tatsuhiro Sakamoto,JPN,"FW,MF",29-310,1996,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Coventry City,Victor Torp,DEN,MF,27-029,1999,1,29,29,32.2,0.3,0,,0,1,29,0,0,0,0,0,0.0,4.43
ENG-Premier League,2627,Crystal Palace,Adam Wharton,ENG,MF,22-203,2004,1,90,90,100.0,1.0,1,90,1,0,,0,0,0,2,-2,-2.0,
ENG-Premier League,2627,Crystal Palace,Anan Khalaili,ISR,MF,21-359,2004,1,36,36,40.0,0.4,0,,0,1,36,0,0,0,0,0,0.0,3.33
ENG-Premier League,2627,Crystal Palace,Borna Sosa,CRO,"DF,MF",28-219,1998,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Crystal Palace,Chadi Riad,MAR,DF,23-072,2003,1,71,71,78.9,0.8,1,71,0,0,,0,0,0,2,-2,-2.54,-2.54
ENG-Premier League,2627,Crystal Palace,Chris Richards,USA,DF,26-153,2000,1,90,90,100.0,1.0,1,90,1,0,,0,0,0,2,-2,-2.0,
ENG-Premier League,2627,Crystal Palace,Daichi Kamada,JPN,MF,30-023,1996,1,90,90,100.0,1.0,1,90,1,0,,0,0,0,2,-2,-2.0,
ENG-Premier League,2627,Crystal Palace,Daniel Muñoz,COL,MF,30-094,1996,1,54,54,60.0,0.6,1,54,0,0,,0,0,0,2,-2,-3.33,-3.33
ENG-Premier League,2627,Crystal Palace,Dean Henderson,ENG,GK,29-169,1997,1,90,90,100.0,1.0,1,90,1,0,,0,0,0,2,-2,-2.0,
ENG-Premier League,2627,Crystal Palace,Dwight McNeil,ENG,MF,26-279,1999,1,62,62,68.9,0.7,1,62,0,0,,0,0,0,2,-2,-2.9,-2.9
ENG-Premier League,2627,Crystal Palace,Eddie Nketiah,ENG,MF,27-090,1999,1,54,54,60.0,0.6,1,54,0,0,,0,0,0,2,-2,-3.33,-3.33
ENG-Premier League,2627,Crystal Palace,Evann Guessand,CIV,"FW,MF",25-058,2001,1,28,28,31.1,0.3,0,,0,1,28,0,0,0,0,0,0.0,2.9
ENG-Premier League,2627,Crystal Palace,Jaydee Canvot,FRA,DF,20-030,2006,1,90,90,100.0,1.0,1,90,1,0,,0,0,0,2,-2,-2.0,
ENG-Premier League,2627,Crystal Palace,Jean-Philippe Mateta,FRA,FW,29-061,1997,1,62,62,68.9,0.7,1,62,0,0,,0,0,0,2,-2,-2.9,-2.9
ENG-Premier League,2627,Crystal Palace,Jørgen Strand Larsen,NOR,FW,26-203,2000,1,28,28,31.1,0.3,0,,0,1,28,0,0,0,0,0,0.0,2.9
ENG-Premier League,2627,Crystal Palace,Takehiro Tomiyasu,JPN,DF,27-296,1998,1,19,19,21.1,0.2,0,,0,1,19,0,0,0,0,0,0.0,2.54
ENG-Premier League,2627,Crystal Palace,Tyrick Mitchell,ENG,MF,26-361,1999,1,90,90,100.0,1.0,1,90,1,0,,0,0,0,2,-2,-2.0,
ENG-Premier League,2627,Crystal Palace,Walter Benítez,ARG,GK,33-221,1993,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Crystal Palace,Will Hughes,ENG,MF,31-133,1995,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Crystal Palace,Yéremy Pino,ESP,"FW,MF",23-312,2002,1,36,36,40.0,0.4,0,,0,1,36,0,0,0,0,0,0.0,3.33
ENG-Premier League,2627,Crystal Palace,Óscar Mingueza,ESP,"DF,MF",27-107,1999,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Everton,Beto,GNB,FW,28-209,1998,1,12,12,13.3,0.1,0,,0,1,12,0,3,0,0,0,0.0,-2.31
ENG-Premier League,2627,Everton,Brennan Johnson,WAL,"FW,MF",25-097,2001,1,7,7,7.8,0.1,0,,0,1,7,0,3,0,0,0,0.0,-2.17
ENG-Premier League,2627,Everton,Carlos Alcaraz,ARG,MF,23-271,2002,1,1,1,1.1,0.0,0,,0,1,1,0,3,0,0,0,0.0,-2.02
ENG-Premier League,2627,Everton,Harrison Armstrong,ENG,MF,19-221,2007,1,90,90,100.0,1.0,1,90,1,0,,0,3,2,0,2,2.0,
ENG-Premier League,2627,Everton,Hayden Hackney,ENG,MF,24-063,2002,1,78,78,86.7,0.9,1,78,0,0,,0,3,2,0,2,2.31,2.31
ENG-Premier League,2627,Everton,Iliman Ndiaye,SEN,MF,26-175,2000,1,90,90,100.0,1.0,1,90,1,0,,0,3,2,0,2,2.0,
ENG-Premier League,2627,Everton,Jake O'Brien,IRL,DF,25-105,2001,0,,,,,0,,0,0,,1,,,,,,
ENG-Premier League,2627,Everton,James Garner,ENG,MF,25-168,2001,1,12,12,13.3,0.1,0,,0,1,12,0,3,0,0,0,0.0,-2.31
ENG-Premier League,2627,Everton,James Tarkowski,ENG,DF,33-282,1992,1,90,90,100.0,1.0,1,90,1,0,,0,3,2,0,2,2.0,
